zone_id,city_id,zone_name,zone_type,area_km2
Z01,DXB,Dubai Airport,airport,12.0
Z02,DXB,Downtown,business,9.0
Z03,DXB,Marina,residential,11.0
Z04,DXB,Business Bay,business,8.0
Z05,DXB,Deira,retail,14.0
Z06,DXB,JLT,residential,7.0
Z07,AUH,Abu Dhabi Airport,airport,15.0
Z08,AUH,Corniche,business,10.0
Z09,AUH,Al Reem,residential,8.0
Z10,AUH,Khalifa City,residential,16.0
Z11,AUH,Yas Island,retail,12.0
Z12,SHJ,Al Nahda,residential,9.0
Z13,SHJ,Al Majaz,retail,7.0
Z14,SHJ,Industrial Area,business,18.0
Z15,SHJ,University City,residential,11.0
